x,y,cluster
62.59809,29.74448,3
62.59809,29.74448,3
62.59809,29.74448,3
62.60386,29.74453,1
62.60405,29.74519,1
62.60289,29.76186,45
62.60304,29.76215,45
62.61438,29.82814,24
62.61879,29.77052,43
63.09646,29.80229,32
63.09181,29.8108,32
63.09181,29.81076,32
63.0918,29.8107,32
62.59818,29.74364,3
62.59868,29.7456,1
62.59613,29.74844,3
62.59608,29.74865,3
62.59993,29.75284,1
62.60082,29.75974,45
62.60065,29.76063,45
62.60101,29.76111,45
62.6013,29.7616,45
62.6014,29.76164,45
62.60146,29.76157,45
62.60222,29.76252,45
62.60279,29.7627,45
62.60284,29.76221,45
62.60307,29.76136,45
62.60296,29.76215,45
62.60276,29.76266,45
62.60352,29.76432,45
62.60355,29.76339,45
62.60398,29.76383,45
62.60321,29.76559,20
62.6031,29.7652,45
62.6024,29.76485,45
62.60207,29.7646,45
62.60146,29.76399,45
62.60111,29.7646,20
62.60105,29.76591,20
62.60113,29.76636,20
62.60114,29.76599,20
62.59954,29.76514,20
62.59902,29.76585,20
62.59959,29.76283,45
62.5997,29.7625,45
62.59882,29.75918,45
62.5993,29.75875,6
62.59922,29.75725,6
62.60252,29.76058,45
62.60311,29.76085,45
62.60756,29.77312,20
62.60749,29.77604,20
62.61685,29.7756,26
62.61868,29.77122,43
62.61898,29.7706,43
62.61938,29.7687,43
62.61926,29.76816,43
62.61887,29.76759,43
62.61537,29.76904,43
62.61452,29.76866,43
62.60968,29.76358,26
62.61084,29.75977,26
62.60366,29.74604,1
62.59809,29.74448,3
62.59809,29.74448,3
62.59809,29.74448,3
62.59809,29.74448,3
62.59809,29.74448,3
62.61418,29.82827,24
62.61457,29.82823,24
62.61998,29.71036,66
62.61998,29.71036,66
63.09697,29.80248,32
62.92819,29.78179,64
62.85897,29.85492,64
62.61806,29.77245,43
62.6186,29.76995,43
62.61863,29.76998,43
62.61402,29.8277,24
62.60302,29.76148,45
62.60284,29.76159,45
62.60282,29.76158,45
62.59807,29.74425,3
62.60408,29.74501,1
62.59809,29.74448,3
62.59809,29.74448,3
62.59809,29.74448,3
62.59809,29.74448,3
62.61477,29.74342,29
62.61689,29.77653,26
62.61842,29.76779,43
62.61498,29.74587,8
62.59809,29.74448,3
62.59809,29.74448,3
62.59817,29.74602,1
62.59766,29.74364,3
62.59766,29.74364,3
62.59766,29.74364,3
62.6004,29.76314,45
62.60089,29.75308,1
62.59798,29.74433,3
62.59766,29.74364,3
62.59766,29.74364,3
62.59809,29.74448,3
62.59809,29.74448,3
62.59809,29.74448,3
62.6148,29.74329,29
62.6148,29.74329,29
62.6148,29.74329,29
62.59766,29.74364,3
62.59809,29.74448,3
62.59809,29.74448,3
62.59809,29.74448,3
62.59809,29.74448,3
62.59809,29.74448,3
62.59809,29.74448,3
62.59809,29.74448,3
62.59809,29.74448,3
62.59809,29.74448,3
62.59809,29.74448,3
62.59809,29.74448,3
62.59809,29.74448,3
62.59809,29.74448,3
62.59809,29.74448,3
62.59809,29.74448,3
62.59809,29.74448,3
62.59809,29.74448,3
62.59809,29.74448,3
62.59809,29.74448,3
62.59809,29.74448,3
62.59809,29.74448,3
62.59809,29.74448,3
62.59809,29.74448,3
62.59809,29.74448,3
62.59764,29.74321,3
62.59912,29.75937,45
62.61486,29.74357,29
62.59809,29.74448,3
62.59795,29.74381,3
62.59809,29.74448,3
62.59809,29.74448,3
62.59809,29.74448,3
62.60366,29.74606,1
62.60361,29.74627,1
62.60365,29.74643,1
62.59766,29.74364,3
62.59809,29.74448,3
62.59809,29.74448,3
62.59809,29.74448,3
62.60142,29.76249,45
62.59809,29.74448,3
62.59809,29.74448,3
62.59809,29.74448,3
62.59809,29.74448,3
62.59809,29.74414,3
62.59809,29.74415,3
62.59809,29.74415,3
62.59857,29.74502,3
62.59809,29.74414,3
62.0,29.0,7
62.0,29.0,7
62.0,29.0,7
62.0,29.0,7
62.0,29.0,7
62.0,29.0,7
62.61551,29.74663,8
62.61551,29.74663,8
62.61551,29.74663,8
62.61551,29.74663,8
62.61551,29.74663,8
62.61551,29.74663,8
62.61551,29.74663,8
62.61551,29.74663,8
62.61551,29.74663,8
62.61551,29.74663,8
62.61551,29.74663,8
62.61551,29.74663,8
62.61551,29.74663,8
62.61551,29.74663,8
62.61551,29.74663,8
62.61671,29.7056,2
62.60617,29.75942,55
62.60429,29.75541,6
62.60528,29.75101,1
62.60586,29.75014,1
62.60673,29.7491,1
62.61398,29.73918,29
62.61418,29.73938,29
62.61441,29.74036,29
62.6148,29.74217,29
62.61488,29.74272,29
62.61488,29.74271,29
62.61484,29.74264,29
62.61483,29.74274,29
62.61495,29.74301,29
62.61495,29.74301,29
62.61495,29.74301,29
62.61495,29.74301,29
62.61495,29.74301,29
62.61449,29.74297,29
62.59809,29.74447,3
62.61541,29.74193,29
62.61501,29.74293,29
62.6141,29.74339,29
62.59805,29.74419,3
62.5983,29.74333,3
62.59801,29.7433,3
62.59801,29.74351,3
62.5983,29.74335,3
62.61681,29.83758,24
62.61496,29.74361,29
62.61476,29.74404,8
62.61491,29.74366,29
62.61499,29.74322,29
62.59771,29.74439,3
62.59912,29.74461,3
62.59806,29.74504,3
62.59803,29.74493,3
62.59821,29.74488,3
62.59763,29.74349,3
62.59786,29.7441,3
62.59856,29.74495,3
62.61541,29.74185,29
62.59809,29.74447,3
62.59809,29.74448,3
62.59809,29.74448,3
62.59809,29.74448,3
62.60019,29.7644,20
62.59809,29.74448,3
62.60004,29.75813,6
62.60004,29.75843,6
62.60043,29.75604,6
62.59809,29.74448,3
62.61552,29.74523,8
62.59809,29.74448,3
62.59794,29.7436,3
62.61494,29.7431,29
62.59985,29.73603,1
62.59952,29.73598,1
62.59901,29.73669,1
62.61213,29.77315,49
62.61198,29.77167,49
62.61497,29.74431,8
62.61497,29.74431,8
62.61497,29.74431,8
62.61497,29.74431,8
62.61504,29.74372,29
62.61502,29.74361,29
62.61502,29.74361,29
62.61507,29.74393,8
62.61377,29.74637,8
62.615,29.7439,8
62.61496,29.7441,8
62.61529,29.74496,8
62.61529,29.74496,8
62.61529,29.74496,8
62.61529,29.74496,8
62.61529,29.74496,8
62.61529,29.74496,8
62.61529,29.74496,8
62.61529,29.74496,8
62.61529,29.74496,8
62.61529,29.74496,8
62.6157,29.74533,8
62.42975,29.9653,4
