x,y,cluster
51.4812916,-0.4510112,1
51.474005,-0.4509991,3
51.4781991,-0.446081,1
51.4781991,-0.446081,1
51.4741456,-0.4515622,3
51.4801463,-0.4411027,1
51.479669,-0.4410238,1
38.7817746,-9.1375444,2
38.7744221,-9.1291947,2
38.771939,-9.1289106,2
38.7694328,-9.1244026,2
38.7429871,-9.1477802,2
38.7128158,-9.1398331,2
38.7110495,-9.1397388,2
38.7119242,-9.1374341,2
38.711283,-9.1387968,2
38.7071923,-9.1368245,2
38.7096234,-9.1306099,2
38.715637,-9.1205578,2
38.7143626,-9.1306584,2
38.7143734,-9.1345486,2
38.712536,-9.1331499,2
38.711977,-9.1417878,2
38.713834,-9.1344059,2
38.7124623,-9.1331557,2
38.7131813,-9.1353435,2
38.7127963,-9.1360143,2
38.7118122,-9.1372845,2
38.7117969,-9.1373177,2
38.7118745,-9.1373306,2
38.7119086,-9.1373452,2
38.7118862,-9.1373517,2
38.7118712,-9.1373178,2
38.7118761,-9.1373146,2
38.7118605,-9.137332,2
38.7118783,-9.1373423,2
38.7118881,-9.1373381,2
38.711888,-9.1373363,2
38.711864,-9.1373236,2
38.7118701,-9.1373246,2
38.7118691,-9.137326,2
38.7118984,-9.1373365,2
38.7119017,-9.1373634,2
38.7119172,-9.13736,2
38.711864,-9.1373269,2
38.7118984,-9.1373325,2
38.7118599,-9.1373306,2
38.7118624,-9.1373252,2
38.7119012,-9.1373462,2
38.7119,-9.1373414,2
38.7118419,-9.1373059,2
38.7118694,-9.1373598,2
38.7118745,-9.1372771,2
38.7118599,-9.1373605,2
38.7118716,-9.1373753,2
38.7118391,-9.1373052,2
38.7142832,-9.1397267,2
38.7140707,-9.1220166,2
38.7236556,-9.1152921,2
38.7249729,-9.1149007,2
38.7252194,-9.1149853,2
38.7231075,-9.1133736,2
38.7139855,-9.1220591,2
38.7068412,-9.1457495,2
38.6971879,-9.2017238,2
38.6979292,-9.2058096,2
38.6944173,-9.2046919,2
38.7002392,-9.2047133,2
38.6991942,-9.2050357,2
38.6979296,-9.2058097,2
38.6937796,-9.2063634,2
38.6934236,-9.2118988,2
38.6919442,-9.2155605,2
38.6933087,-9.2153549,2
38.6920878,-9.2152758,2
38.694591,-9.2044774,2
38.7025124,-9.1805038,2
38.7063452,-9.1485781,2
38.7099732,-9.1365704,2
38.7084192,-9.1363223,2
38.7084872,-9.1360221,2
38.7084677,-9.1362298,2
38.7121451,-9.1375105,2
38.713462,-9.139126,2
38.7119022,-9.1373228,2
38.7118754,-9.1373319,2
38.7118706,-9.1373373,2
38.7118818,-9.1372978,2
38.7118558,-9.1373144,2
38.7126314,-9.1376557,2
38.7118513,-9.1373304,2
38.7114257,-9.1375604,2
38.7114167,-9.1375443,2
38.7119557,-9.137407,2
38.7118752,-9.1373039,2
38.7118807,-9.1373706,2
38.7118811,-9.1373132,2
38.7118682,-9.1372822,2
38.7118545,-9.1373102,2
38.7118458,-9.1372971,2
38.7118342,-9.1372666,2
38.7118744,-9.1373369,2
38.7118606,-9.1372976,2
38.7118913,-9.1373243,2
38.7118912,-9.1373147,2
38.7118725,-9.1373298,2
38.7118619,-9.1373299,2
38.7118797,-9.1373259,2
38.7118651,-9.1373191,2
38.7118551,-9.1373139,2
38.7118624,-9.1373238,2
38.7118485,-9.1373063,2
38.7118506,-9.1372903,2
38.7118232,-9.1372686,2
38.7118682,-9.1373055,2
38.711842,-9.137305,2
38.7119013,-9.1373779,2
38.7135442,-9.13725,2
38.7147339,-9.1407012,2
38.7147241,-9.1408753,2
38.7309823,-9.1690712,2
38.7616021,-9.2450257,2
38.7975582,-9.3409997,2
38.799727,-9.3852125,2
38.7969485,-9.3907658,2
38.7893195,-9.3923114,2
38.787489,-9.3905445,2
38.8011712,-9.4251031,2
38.7874886,-9.3905446,2
38.793071,-9.2858255,2
38.8014593,-9.3717872,2
38.8054581,-9.3619194,2
38.8166107,-9.4084998,2
38.7882049,-9.3880175,2
38.7995682,-9.3854593,2
38.797314,-9.3879207,2
38.7686867,-9.2999259,2
38.7472838,-9.2138388,2
38.7147515,-9.1406741,2
38.7139452,-9.1393509,2
38.7119087,-9.1373871,2
38.7118918,-9.1373346,2
38.7118537,-9.1372891,2
38.7119,-9.1373436,2
38.7118534,-9.137313,2
38.7120262,-9.1391325,2
38.7119202,-9.1390682,2
38.7134531,-9.140998,2
38.7135781,-9.1416879,2
38.7135533,-9.1417099,2
38.7106644,-9.1426067,2
38.7109381,-9.1398407,2
38.7110242,-9.1373975,2
38.7118297,-9.1372975,2
38.7118239,-9.1373075,2
38.7118327,-9.1373168,2
38.7118219,-9.137277,2
38.7118229,-9.137273,2
38.711828,-9.1372794,2
38.7118594,-9.1373493,2
38.7118657,-9.137368,2
38.7117906,-9.1372713,2
38.7118342,-9.1373073,2
38.7118746,-9.1373033,2
38.7118216,-9.1372386,2
38.7118547,-9.1373673,2
38.7118518,-9.1372974,2
38.7117759,-9.1372729,2
38.7118216,-9.1372482,2
38.7118034,-9.1372351,2
38.7118169,-9.1372548,2
38.7117997,-9.1372612,2
38.7123248,-9.137434,2
38.7118349,-9.1372568,2
38.7117946,-9.1373179,2
38.7120571,-9.1411578,2
38.7420176,-9.1693804,2
38.7417655,-9.1656939,2
38.741758,-9.1657132,2
38.7417875,-9.1656878,2
39.1183833,-8.9137378,2
39.2728757,-8.7121869,2
39.476522,-8.6343453,2
39.6307531,-8.6811772,2
39.6287723,-8.695136,2
39.8410858,-8.718608,2
40.0204289,-8.5944898,2
40.2108693,-8.4813831,2
40.6091112,-8.5448192,2
40.8665418,-8.5589924,2
41.0621474,-8.5758203,2
41.1452665,-8.610441,2
41.1452814,-8.610412,2
41.1452681,-8.6103972,2
41.1490255,-8.6101426,2
41.1435023,-8.6101014,2
41.1384074,-8.6091067,2
41.1365312,-8.6112967,2
41.137714,-8.6133715,2
41.138666,-8.6156996,2
41.1383155,-8.6138142,2
41.1385952,-8.6152999,2
41.1407855,-8.6105422,2
41.144111,-8.6103824,2
41.1452207,-8.6103923,2
41.1452693,-8.6103998,2
41.1452665,-8.610441,2
41.1453039,-8.6104046,2
41.1452847,-8.6104046,2
41.1451244,-8.6103765,2
41.1451871,-8.6103879,2
41.1452062,-8.6103928,2
41.1453191,-8.6104181,2
41.1451443,-8.6103827,2
41.1452832,-8.610411,2
41.1451994,-8.6104004,2
41.1451577,-8.610407,2
41.1452767,-8.6104193,2
41.1452553,-8.6103687,2
41.1451892,-8.6103647,2
41.1452398,-8.6103903,2
41.1451999,-8.6103701,2
41.1452398,-8.6103903,2
41.1452899,-8.6104237,2
41.1452019,-8.6104037,2
41.1452902,-8.6104127,2
41.1451028,-8.6103863,2
41.1452779,-8.6103951,2
41.1451252,-8.6103913,2
41.145233,-8.6103589,2
41.1459052,-8.6107664,2
41.1453112,-8.6104084,2
41.1453312,-8.6105021,2
41.1452405,-8.6104902,2
41.1452839,-8.6104007,2
41.1452259,-8.6104118,2
41.1452014,-8.6104695,2
41.1451101,-8.6103534,2
41.1451213,-8.6103766,2
41.1452763,-8.6104014,2
41.1452766,-8.610408,2
41.1458776,-8.6148362,2
41.1426424,-8.616917,2
41.1403703,-8.6100678,2
41.1405684,-8.6140277,2
41.1372534,-8.6164138,2
41.1422426,-8.6211775,2
41.1372093,-8.6197198,2
41.1369146,-8.6202187,2
41.1435548,-8.613069,2
41.1400816,-8.6152177,2
41.1416982,-8.6064163,2
41.1373274,-8.6163514,2
41.144387,-8.6118955,2
41.1451646,-8.6108553,2
41.1448505,-8.6105405,2
41.1452173,-8.6105157,2
41.1520349,-8.6100353,2
41.1615277,-8.6308978,2
41.237025,-8.6656845,2
41.2364461,-8.6711649,2
41.2372053,-8.6721733,2
41.2358797,-8.6716752,2
41.3039111,2.1059314,3
41.2927229,2.0755827,1
41.289946,2.0645899,1
41.2941432,2.0731769,1
41.3201247,2.090935,1
41.3771195,2.1516324,1
41.3771385,2.1510933,1
41.3770661,2.1512022,1
41.3770723,2.1512061,1
41.3770438,2.1512276,1
41.3770794,2.1512247,1
41.3779885,2.152919,1
41.3760035,2.1491465,1
41.3662181,2.1537009,1
41.3721418,2.1509384,1
41.3786831,2.152787,1
41.3771314,2.1511083,1
41.3771701,2.1507965,1
41.3771623,2.1510834,1
41.3770884,2.1507629,1
41.3770935,2.1507655,1
41.3770975,2.1511463,1
41.3805504,2.1538854,1
41.3806322,2.152509,1
41.3771433,2.1510132,1
41.3770732,2.1514639,1
41.3809076,2.154365,1
41.3883249,2.1596929,1
41.3804476,2.1739578,1
41.3846963,2.1867123,1
41.3813242,2.1727949,1
41.3786362,2.1757599,1
41.3786351,2.1757965,1
41.3814296,2.1802422,1
41.3814159,2.1802462,1
41.3893829,2.1708651,1
41.3770763,2.1512071,1
41.3770911,2.1511755,1
41.3770723,2.1511749,1
41.3770897,2.1512032,1
41.3770797,2.1511882,1
41.3771148,2.1507485,1
41.3771225,2.1507589,1
41.3770799,2.1507574,1
41.3771047,2.1507393,1
41.3770928,2.1507845,1
41.3770749,2.1507436,1
41.3771613,2.150862,1
41.3797817,2.1579662,1
41.3801641,2.1559188,1
41.3771119,2.1510608,1
41.3758486,2.1493109,1
41.3880427,2.1114748,1
41.3887061,2.1124853,3
41.3894133,2.1132551,3
41.3870807,2.1122173,3
41.3870767,2.1122316,3
41.3893617,2.1155753,3
41.3856393,2.1128883,3
41.3790408,2.142772,3
41.3752883,2.1500491,1
41.3754151,2.150232,1
41.3770715,2.1513833,1
41.377098,2.1512086,1
41.3804297,2.1472661,3
41.3811476,2.1457452,3
41.3813223,2.1531112,1
41.3801372,2.1521937,1
41.3770895,2.1509105,1
41.377088,2.1507327,1
41.3771022,2.1507197,1
41.3770837,2.1507237,1
41.3770997,2.150746,1
41.3771288,2.1511797,1
41.3770761,2.1512058,1
41.3761683,2.1505352,1
41.3877239,2.1821679,1
41.3861742,2.178146,1
41.3835227,2.1818196,1
41.3826482,2.1830837,1
41.3860045,2.1830188,1
41.3894837,2.1881876,1
41.3892687,2.1835529,1
41.3871622,2.1700956,1
41.3839198,2.1609378,1
41.3772001,2.1509524,1
41.3751794,2.1496514,1
41.3751794,2.1496514,1
41.3784244,2.1559161,1
41.3770722,2.1516574,1
41.377161,2.1511567,1
41.3770767,2.1512219,1
41.3796558,2.1746671,1
41.3857346,2.1763771,1
41.3864853,2.1754263,1
41.386691,2.1751994,1
41.3832366,2.1599276,1
41.3770592,2.1511997,1
41.3770965,2.1512288,1
41.3804992,2.1539174,1
41.3799226,2.1524709,1
41.377072,2.1512284,1
41.377075,2.1512259,1
41.3714486,2.1422407,1
41.3826705,2.1634567,1
41.3826833,2.1634472,1
41.3826926,2.1633617,1
41.3826618,2.1634368,1
41.3826456,2.1634468,1
41.3826657,2.1634832,1
41.3826699,2.1634701,1
41.3826673,2.163451,1
41.3825772,2.1644284,1
41.3779089,2.1703524,1
41.375782,2.168334,1
41.3751433,2.1559962,1
41.377091,2.1511839,1
41.377083,2.1512259,1
41.377071,2.1512066,1
41.3770696,2.1512116,1
41.3770882,2.1511935,1
41.3770841,2.1511981,1
41.3770878,2.1511811,1
41.3770934,2.1511873,1
41.377069,2.1511985,1
41.3771109,2.1507641,1
41.3771011,2.1507651,1
41.3771088,2.1507453,1
41.3770901,2.1511801,1
41.377101,2.151001,1
41.3832116,2.1599064,1
41.3898505,2.168136,1
41.3916386,2.1649189,1
41.391525,2.1647144,1
41.391535,2.1647768,1
41.3918367,2.1650102,1
41.3887823,2.1666498,1
41.3920343,2.1615202,1
41.394984,2.1579856,1
41.3911957,2.1566475,1
41.3913106,2.1530533,1
41.3925822,2.1491597,3
41.3809262,2.1371983,1
41.3760052,2.1501197,1
41.3770958,2.1511973,1
41.377128,2.1508054,1
41.3771198,2.1508764,1
41.3770812,2.1512316,1
41.3770451,2.151607,1
41.3762033,2.1500443,1
41.3770627,2.1512179,1
41.377112,2.1509763,1
41.3759403,2.153035,1
41.3749666,2.1695981,1
41.3744729,2.1695484,1
41.3770904,2.151214,1
41.3771161,2.1511545,1
41.377911,2.1483206,1
41.371348,2.141818,1
41.3920588,2.1807558,1
41.3907591,2.187896,1
41.3895508,2.1839762,1
41.3715467,2.1820937,1
41.3907135,2.1868653,1
41.3945166,2.1775313,1
41.3894962,2.1839927,1
41.3836096,2.1817957,1
41.3835285,2.1814884,1
41.3882113,2.1796468,1
41.3810823,2.1562302,1
41.377115,2.1511681,1
