lat,lon
62.5983,29.7439
62.6146,29.744
62.6144,29.7456
62.6004,29.7394
62.6018,29.7437
62.6038,29.7518
62.6022,29.744
62.6027,29.7472
62.6021,29.744
62.607,29.7485
62.5962,29.7276
62.6019,29.7437
62.5978,29.7249
62.5968,29.7485
62.6017,29.7441
62.5981,29.7481
62.6021,29.7439
62.5975,29.7482
62.6019,29.744
62.5991,29.7464
62.5994,29.7461
62.5987,29.7485
61.4736,23.8677
61.4544,23.8485
62.6142,29.7433
62.5908,29.7411
62.5919,29.7426
62.5904,29.7404
62.591,29.7417
62.5902,29.7402
62.6189,29.7614
62.6181,29.7432
62.5969,29.7458
62.5988,29.7454
62.5958,29.7456
62.6023,29.7432
62.6008,29.7468
62.595,29.7473
62.5984,29.7424
62.581,29.7954
62.5963,29.7886
62.5994,29.7751
62.6019,29.7594
62.6023,29.7493
62.5991,29.748
62.6149,29.7427
62.5979,29.7433
62.5978,29.7432
62.6009,29.7451
62.5999,29.7456
62.5981,29.7445
62.6,29.7458
62.6051,29.7386
62.6044,29.7394
62.6045,29.7396
62.6044,29.7396
62.5985,29.7434
62.6005,29.7476
62.5979,29.7488
62.597,29.75
62.5989,29.7457
62.6149,29.7439
62.6151,29.7439
62.5982,29.7437
62.5981,29.7437
62.6153,29.7438
62.598,29.748
62.6,29.7456
62.615,29.7435
62.6203,29.7661
62.6306,29.7743
62.5989,29.7429
62.5986,29.7435
62.598,29.7443
62.6037,29.7458
62.5986,29.743
62.5985,29.7431
62.6118,29.7723
62.5999,29.7461
62.5987,29.7458
62.5983,29.7483
62.598,29.7429
62.5984,29.7445
62.5963,29.747
62.5948,29.748
62.5985,29.743
62.5769,29.8102
62.5779,29.8081
62.6009,29.7513
62.6023,29.7495
62.5983,29.7445
62.578,29.8076
62.6014,29.7644
62.6021,29.7644
62.6021,29.7621
62.6153,29.7439
62.6124,29.7322
62.6145,29.7411
62.6142,29.7472
62.6152,29.7442
62.615,29.7427
62.6153,29.7454
62.6151,29.7435
62.6152,29.7428
62.6155,29.7464
62.615,29.7439
62.5778,29.8077
62.6016,29.7603
62.6017,29.7603
62.5984,29.7589
62.5988,29.7602
62.5972,29.7595
62.5987,29.7594
62.5979,29.7441
62.5983,29.7433
62.5983,29.7437
62.5912,29.7608
62.601,29.7457
62.615,29.743
62.5977,29.7432
62.6029,29.7
62.62,29.7
62.5979,29.7444
62.6086,29.7465
62.6016,29.7527
62.6151,29.7439
62.6152,29.7437
62.6149,29.7447
62.5981,29.7444
62.6028,29.7624
62.6029,29.7628
62.6155,29.7424
62.6149,29.7437
62.615,29.7433
62.6305,29.7743
62.6303,29.7743
62.598,29.7451
62.6004,29.7431
62.6006,29.7432
62.6026,29.7446
62.6028,29.7448
62.6038,29.7453
62.6002,29.743
62.5985,29.7435
62.5981,29.7448
62.6037,29.7457
62.6008,29.7609
62.601,29.761
62.6134,29.7416
62.6015,29.7463
62.5981,29.7443
62.5986,29.7446
62.6256,29.7728
62.6025,29.7483
62.608,29.7548
62.6014,29.7477
62.6122,29.7943
62.6061,29.7521
62.5994,29.7459
62.6086,29.7546
62.6003,29.7469
62.6644,29.8071
62.6022,29.7492
